code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
bc_features;"BC Features";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_size;"BC Size";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_material;"BC Material";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_type;"BC Type";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
pdf_info;"*PDF Info";;;;;;;;;webinfo;0;;;;;;;;;0;13;pim_catalog_textarea;0;1;;;1
product_video_url_2;"Product Video Url 2";;;;;;;;;media;0;;;;;;;;;0;1;pim_catalog_text;0;1;;;
product_video_url_3;"Product Video Url 3";;;;;;;;;media;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
display_name_option;"Display Name For Option";;;;;;;;;options;0;;;;;;;;;0;0;pim_catalog_multiselect;0;1;;;
display_name_price;"Display Name For Price";;;;;;;;;options;0;;;;;;;;;0;0;pim_catalog_simpleselect;0;1;;;
color_code;"Color Code";;;;;;;;;options;0;;;;;;;;;0;0;pim_catalog_text;0;1;;;
delivery_estimate_low;"Delivery Estimate Low";;;;;;1;DAY;;shipping;0;;;Duration;;0;;;;0;49;pim_catalog_metric;0;1;;;
shade_coverage;"Shade Coverage";;;;;;1;SQUARE_FOOT;;dimensions;0;;;Area;;0;;;;0;12;pim_catalog_metric;0;1;;;
delivery_estimate_high;"Delivery Estimate High";;;;;;1;DAY;;shipping;0;;;Duration;;0;;;;0;50;pim_catalog_metric;0;1;;;
cooking_surface;"Cooking Surface";;;;;;1;SQUARE_INCH;;dimensions;0;;;Area;;0;;;;0;17;pim_catalog_metric;0;1;;;
storage_capacity;"Storage Capacity";;;;;;1;SQUARE_INCH;;specs;0;;;Area;;0;;;;0;79;pim_catalog_metric;0;1;;;
product_resources_pdf_2;"Product Resources Pdf 2";;;;;;;;;media;0;;;;;;;;;0;15;pim_catalog_text;0;1;;;
product_resources_pdf_3;"Product Resources Pdf 3";;;;;;;;;media;0;;;;;;;;;0;6;pim_catalog_text;0;1;;;
product_resources_pdf_4;"Product Resources Pdf 4";;;;;;;;;media;0;;;;;;;;;0;7;pim_catalog_text;0;1;;;
product_resources_pdf_5;"Product Resources Pdf 5";;;;;;;;;media;0;;;;;;;;;0;8;pim_catalog_text;0;1;;;
image_description_11;"Image Description 11";;;;;;;;;media;0;;;;;;;;;0;35;pim_catalog_text;0;1;;;
image_description_12;"Image Description 12";;;;;;;;;media;0;;;;;;;;;0;37;pim_catalog_text;0;1;;;
image_description_13;"Image Description 13";;;;;;;;;media;0;;;;;;;;;0;39;pim_catalog_text;0;1;;;
image_description_14;"Image Description 14";;;;;;;;;media;0;;;;;;;;;0;41;pim_catalog_text;0;1;;;
image_description_15;"Image Description 15";;;;;;;;;media;0;;;;;;;;;0;43;pim_catalog_text;0;1;;;
image_11;"Image 11";;;;;;;;;media;0;;;;;;;;;0;34;pim_catalog_image;0;1;;;
image_12;"Image 12";;;;;;;;;media;0;;;;;;;;;0;36;pim_catalog_image;0;1;;;
image_13;"Image 13";;;;;;;;;media;0;;;;;;;;;0;38;pim_catalog_image;0;1;;;
image_14;"Image 14";;;;;;;;;media;0;;;;;;;;;0;40;pim_catalog_image;0;1;;;
image_15;"Image 15";;;;;;;;;media;0;;;;;;;;;0;42;pim_catalog_image;0;1;;;
product_resources_catalog;"Product Resources Catalog";;;;;;;;;media;0;;;;;;;;;0;3;pim_catalog_text;0;1;;;
product_resources_care;"Product Resources Care";;;;;;;;;media;0;;;;;;;;;0;4;pim_catalog_text;0;1;;;
product_resources_specifications;"Product Resources Specifications";;;;;;;;;media;0;;;;;;;;;0;5;pim_catalog_text;0;1;;;
prop65;Prop65;;;;;;;;;specs;0;;;;;;;;;0;0;pim_catalog_text;0;1;;;
