CustomFields,Pim field name,Data type,metrics
Plant Material,plant_material,pim_catalog_text,
Plant Species,plant_type,pim_catalog_simpleselect,
Planter Material,planter_material,pim_catalog_multiselect,
Planters Depth Range,planters_depth_range,pim_catalog_multiselect,
Planters Height Range,planters_height_range,pim_catalog_multiselect,
Planters Width Range,planters_width_range,pim_catalog_multiselect,
Pole Diameter,pole_diameter,pim_catalog_multiselect,
Power Consumption,power_consumption,pim_catalog_text,
Price,price_range,pim_catalog_simpleselect,
Primary Image,primary_image,pim_catalog_image,
Primary Image Description,primary_image_description,pim_catalog_text,
Product Resources Care,product_resources_care,pim_catalog_file,
Product Resources Pdf,product_resources_catalog,pim_catalog_file,
Product Resources Pdf 2,product_resources_pdf_2,pim_catalog_file,
Product Resources Pdf 3,product_resources_pdf_3,pim_catalog_file,
Product Resources Pdf 4,product_resources_pdf_4,pim_catalog_file,
Product Resources Pdf 5,product_resources_pdf_5,pim_catalog_file,
Product Resources Specifications,product_resources_specifications,pim_catalog_file,
Product Video Url,product_video_url,pim_catalog_text,
Quick Ship Icon,quick_ship_icon,pim_catalog_boolean,
Rebate,rebate,pim_catalog_boolean,
Recycle Icon,recycle_icon,pim_catalog_boolean,
Type,replacement_cushion_type,pim_catalog_simpleselect,
Resolution,resolution,pim_catalog_text,
Reversible? (Y/N),reversible,pim_catalog_boolean,
RF,rf,pim_catalog_text,
RGB Input,rgb_input,pim_catalog_text,
Ribs,ribs,pim_catalog_text,
Rug Material,rug_material,pim_catalog_simpleselect,
Rug Shape,rug_shape,pim_catalog_multiselect,
Rug Size,rug_size,pim_catalog_multiselect,
Sale Flag,sale_flag,pim_catalog_boolean,
Screen Size,screen_size,pim_catalog_metric,INCH
Seat Height,seat_height,pim_catalog_metric,INCH
Seating Capacity,seating_capacity,pim_catalog_simpleselect,
Series,series,pim_catalog_text,
Shade Coverage,shade_coverage,pim_catalog_metric,INCH
Shape,shape,pim_catalog_simpleselect,
Shipping Price,shipping_price,pim_catalog_text,
SKU Type,sku_type,pim_catalog_simpleselect,
Speakers,speakers,pim_catalog_text,
Special Order,special_order,pim_catalog_boolean,
Specs Highlight,specs_highlight,pim_catalog_text,
Stacking,stacking,pim_catalog_boolean,
Extended Lead Time,stocked,pim_catalog_text,
Storage Capacity,storage_capacity,pim_catalog_metric,INCH
Style,style,pim_catalog_multiselect,
Sustainable,sustainable,pim_catalog_boolean,
Temperature,temperature,pim_catalog_text,
Tilt,tilt,pim_catalog_simpleselect,
Trade Discount,trade_discount,pim_catalog_number,
Umbrella Size Range,umbrella_size_range,pim_catalog_multiselect,
Umbrella Type,umbrella_type,pim_catalog_simpleselect,
UPF,upf,pim_catalog_text,
Vent Style,vent_style,pim_catalog_multiselect,
Video Component,video_component,pim_catalog_text,
Viewing Angle,viewing_angle,pim_catalog_text,
Voltage,voltage,pim_catalog_text,
Watts,watts,pim_catalog_text,
Wheels,wheels,pim_catalog_simpleselect,
White Glove Eligible,white_glove_eligible,pim_catalog_boolean,
Width Between Legs ( in.),width_between_legs,pim_catalog_metric,INCH
Yahoo Google Taxonomy,yahoo_google_taxonomy,pim_catalog_text,
